relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
1	4.56	4	8	8	0	0	0	0	91	9	0.47
1	2.0	2	0	0	8	0	0	0	14	4	0.67
1	0.0	2	0	5	0	0	0	0	4	1	0.11
1	0.0	1	0	0	0	0	0	0	4	2	0.44
1	2.0	2	0	0	10	0	0	0	30	5	0.52
1	1.5	5	0	0	4	0	1	0	72	6	0.58
1	1.0	2	0	0	0	0	0	0	31	6	0.58
1	0.0	1	0	0	0	0	0	0	89	1	0.43
1	4.33	4	5	5	0	0	0	0	73	6	0.34
1	1.5	5	0	0	4	0	1	0	51	6	0.59
1	0.0	1	0	0	0	0	0	0	19	1	0.53
1	2.0	2	5	5	0	0	0	0	96	5	0.44
1	1.0	2	0	0	0	0	0	0	26	5	0.5
1	2.0	2	0	0	6	0	0	0	28	3	0.64
1	0.0	1	0	0	0	0	0	0	59	5	0.63
1	2.0	5	0	0	4	0	1	0	13	3	0.45
1	2.0	2	0	0	20	0	0	0	42	10	0.72
1	0.0	2	0	17	0	0	0	0	28	1	0.2
1	0.0	1	0	0	0	0	0	0	61	1	0.58
1	1.75	5	0	0	4	0	1	0	14	4	0.48
1	2.5	5	0	0	4	0	1	0	8	2	0.44
1	1.0	2	0	0	0	0	0	0	19	4	0.56
1	0.75	2	0	3	0	0	0	0	40	4	0.65
1	0.0	1	0	0	0	0	0	0	66	1	0.53
1	0.0	1	0	0	0	0	0	0	106	1	0.41
1	0.0	1	0	0	0	0	0	0	21	5	0.49
1	2.0	2	0	0	6	0	0	0	35	3	0.59
1	0.0	1	0	0	0	0	0	0	5	6	0.38
1	0.0	1	0	0	0	0	0	0	28	5	0.47
1	4.0	4	3	3	0	0	0	0	21	4	0.53
1	2.0	2	0	0	12	0	0	0	28	6	0.51
1	0.0	2	0	1	0	0	0	0	1	1	0.07
1	1.5	5	0	0	4	0	1	0	69	6	0.62
1	1.0	2	0	0	0	0	0	0	8	4	0.62
1	0.0	1	0	0	0	0	0	0	27	1	0.5
1	0.0	1	0	0	0	0	0	0	21	9	0.49
1	0.0	1	0	0	0	0	0	0	15	9	0.6
1	1.38	5	0	0	4	0	1	0	48	8	0.61
1	0.0	2	0	0	0	0	1	0	7	1	0.58
1	1.38	5	0	0	4	0	1	0	34	8	0.52
1	1.0	2	0	0	0	0	0	0	56	5	0.44
1	1.0	2	0	0	0	0	0	0	69	7	0.49
1	2.0	2	0	0	6	0	0	0	38	3	0.62
1	2.0	5	0	0	4	0	1	0	14	3	0.3
1	2.0	2	0	0	12	0	0	0	22	6	0.71
1	1.0	2	0	0	0	0	0	0	9	1	0.5
1	4.56	4	8	8	0	0	0	0	117	9	0.4
1	2.5	5	0	0	4	0	1	0	24	2	0.46
1	2.0	2	0	0	12	0	0	0	25	6	0.54
1	2.0	2	0	0	6	0	0	0	33	3	0.66
1	2.0	2	7	7	0	0	0	0	85	7	0.39
1	0.0	2	0	7	0	0	0	0	7	1	0.25
1	0.0	1	0	11	0	0	0	0	26	10	0.54
1	0.0	1	0	0	0	0	0	0	11	6	0.73
1	1.6	5	0	0	4	0	1	0	14	5	0.35
1	2.5	5	0	0	4	0	1	0	32	2	0.43
1	2.5	5	0	0	4	0	1	0	11	2	0.48
1	0.0	1	0	0	0	0	0	0	41	1	0.45
1	0.0	2	0	4	0	0	0	0	4	1	0.13
1	4.33	4	5	5	0	0	0	0	111	6	0.4
1	0.9	2	0	11	0	0	0	0	37	10	0.65
1	1.38	5	0	0	4	0	1	0	24	8	0.36
1	1.6	5	0	0	4	0	1	0	40	5	0.51
1	1.0	2	0	4	0	0	0	0	22	4	0.61
1	0.0	1	0	0	0	0	0	0	15	7	0.58
1	2.0	5	0	0	4	0	1	0	37	3	0.47
1	2.0	2	0	0	6	0	0	0	17	3	0.81
1	0.0	1	0	0	0	0	0	0	32	1	0.43
1	1.5	5	0	0	4	0	1	0	59	6	0.58
1	1.0	2	0	0	0	0	0	0	62	7	0.42
1	0.2	2	0	1	0	0	0	0	24	5	0.69
1	0.0	1	0	0	0	0	0	0	10	7	0.48
1	0.0	1	0	0	0	0	0	0	14	7	0.61
1	1.0	2	0	0	0	0	0	0	28	4	0.56
1	2.0	2	0	0	14	0	0	0	24	7	0.69
1	1.75	5	0	0	4	0	1	0	35	4	0.65
1	1.0	2	0	0	0	0	0	0	82	7	0.47
1	4.2	4	4	4	0	0	0	0	68	5	0.46
1	1.75	5	0	0	4	0	1	0	28	4	0.62
1	1.5	5	0	0	4	0	1	0	27	6	0.42
1	0.0	2	0	7	0	0	0	0	6	1	0.21
1	4.2	4	4	4	0	0	0	0	29	5	0.43
1	0.0	1	0	0	0	0	0	0	28	7	0.68
1	2.5	5	0	0	4	0	1	0	16	2	0.46
1	1.0	2	0	0	0	0	0	0	18	5	0.58
1	1.0	2	0	0	0	0	0	0	19	6	0.54
1	1.43	5	0	0	4	0	1	0	50	7	0.56
1	1.0	2	0	3	0	0	0	0	31	3	0.61
1	1.43	5	0	0	4	0	1	0	53	7	0.51
1	1.38	5	0	0	4	0	1	0	53	8	0.58
1	0.0	1	0	0	0	0	0	0	19	4	0.63
1	4.2	4	4	4	0	0	0	0	51	5	0.48
1	4.56	4	8	8	0	0	0	0	47	9	0.5
1	1.6	5	0	0	4	0	1	0	13	5	0.25
1	0.0	1	0	0	0	0	0	0	13	7	0.54
1	2.0	2	0	0	8	0	0	0	27	4	0.52
1	2.0	2	0	0	8	0	0	0	1	4	0.08
1	2.0	2	0	0	2	0	0	0	18	1	0.72
1	1.6	5	0	0	4	0	1	0	26	5	0.57
1	1.33	5	0	0	4	0	1	0	34	9	0.49
1	2.0	2	0	0	14	0	0	0	27	7	0.69
1	2.0	2	0	0	8	0	0	0	2	4	0.14
1	0.75	2	0	3	0	0	0	0	42	4	0.56
1	4.56	4	8	8	0	0	0	0	105	9	0.46
