relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
1	4	0	0	10	0	0	0	0	22	10	10	10	0.57
0	3	4	0	0	0	0	0	0	7	8	1	5	0.17
1	10	0	3	1	0	0	6	0	43	8	8	8	0.4
1	10	0	3	1	0	0	5	0	38	6	6	6	0.39
0	7	0	0	7	0	0	0	0	13	3	0	1	0.48
0	7	0	0	14	6	0	20	0	100	128	26	23	0.53
1	6	3	0	2	0	0	1	0	31	2	2	2	0.5
1	6	2	0	1	0	0	2	0	61	28	0	7	0.48
0	5	4	10	0	1	0	0	1	29	2	0	1	0.36
1	1	0	11	0	0	10	0	0	24	0	0	0	0.48
1	3	0	0	0	0	0	0	0	49	42	0	21	0.63
0	7	0	0	9	4	0	13	0	86	86	24	23	0.58
0	11	1	0	21	0	0	4	1	24	3	0	3	0.46
1	3	0	0	0	0	0	0	0	37	26	0	13	0.62
1	1	0	11	0	0	10	0	0	30	0	0	0	0.54
0	3	18	0	0	0	0	0	0	32	36	1	19	0.34
0	7	0	0	11	5	0	15	0	74	72	18	16	0.49
1	6	2	0	1	0	0	2	0	59	32	0	8	0.51
1	6	2	0	1	0	0	2	0	74	44	0	11	0.56
0	7	0	0	13	6	0	19	0	95	128	26	23	0.52
1	6	0	3	1	0	0	6	0	33	5	5	5	0.44
1	6	2	0	1	0	0	2	0	49	24	0	6	0.52
1	6	0	3	1	0	0	10	0	37	8	8	8	0.42
1	6	0	3	1	0	0	4	0	33	8	8	8	0.37
1	4	0	0	0	0	0	1	0	49	67	0	34	0.2
0	5	0	3	6	3	0	0	6	17	3	3	2	0.17
0	7	0	0	9	4	0	13	0	71	86	24	23	0.53
0	7	0	0	14	6	0	21	0	94	128	26	23	0.53
0	3	1	4	0	0	0	0	0	4	2	1	2	0.23
0	3	15	0	0	0	0	0	0	15	30	1	16	0.15
0	6	0	0	10	0	0	3	0	2	15	0	5	0.22
1	3	0	0	0	0	0	0	0	27	17	17	17	0.43
0	14	2	0	5	5	0	0	0	19	7	0	5	0.38
0	10	2	0	5	3	0	0	0	13	4	0	2	0.26
0	7	2	0	16	0	0	3	0	29	8	4	3	0.43
0	7	0	0	13	6	0	20	0	94	128	26	23	0.56
1	6	0	1	1	0	0	1	0	20	3	3	3	0.36
0	6	2	0	3	0	0	2	0	42	2	1	3	0.39
0	7	0	0	13	6	0	22	0	103	128	26	23	0.55
1	6	0	3	1	0	0	7	0	27	4	4	4	0.39
1	6	3	0	2	0	0	1	0	27	2	2	2	0.48
1	10	0	2	1	0	0	4	0	31	7	7	7	0.34
1	6	2	0	1	0	0	2	0	65	22	0	6	0.5
1	10	0	3	1	0	0	7	0	35	5	5	5	0.38
1	4	0	0	0	0	0	1	0	35	73	0	37	0.16
0	7	1	2	0	0	0	1	0	3	1	0	1	0.33
0	3	4	13	0	0	0	0	0	10	8	1	5	0.27
1	3	0	0	0	0	0	0	0	19	18	0	5	0.65
0	7	0	0	13	6	0	21	0	88	128	26	23	0.58
0	7	0	0	13	6	0	20	0	87	128	26	23	0.52
1	3	0	0	0	0	0	0	0	102	102	0	51	0.59
0	6	0	0	11	5	0	17	0	67	127	29	27	0.29
0	6	0	0	13	6	0	21	0	58	80	18	15	0.6
0	4	3	10	0	1	0	0	0	24	2	0	1	0.43
0	7	1	1	0	0	0	1	0	4	1	0	1	0.57
0	7	1	0	0	1	0	0	0	4	2	0	2	0.3
1	6	0	1	1	0	0	1	0	27	8	8	8	0.35
1	2	0	7	0	0	6	0	0	18	0	0	0	0.43
1	6	2	0	1	0	0	2	0	51	26	0	7	0.52
1	3	0	0	0	0	0	0	0	17	32	0	16	0.29
