relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
0	19	6	0	31	30	0	0	0	38	48	0	32	0.28
0	15	1	0	6	5	0	0	0	13	7	0	5	0.32
0	5	1	1	1	1	0	0	1	4	2	0	1	0.06
0	5	0	8	0	2	0	0	0	13	4	0	2	0.2
0	7	0	0	13	6	0	22	0	49	128	26	23	0.27
0	7	0	0	14	6	0	22	0	42	86	19	16	0.27
0	3	4	0	0	0	0	0	0	0	8	1	5	0.0
0	6	0	3	9	3	0	6	6	54	3	3	2	0.26
0	3	21	0	0	0	0	0	0	15	42	1	22	0.14
0	5	0	6	1	2	0	0	0	19	3	0	1	0.28
0	7	0	0	13	6	0	22	0	46	128	26	23	0.3
0	7	0	0	13	6	0	20	0	41	128	26	23	0.24
0	3	0	0	0	0	0	1	0	5	1	0	1	0.36
0	6	0	0	14	6	0	22	0	20	152	30	27	0.09
0	3	1	0	0	0	0	0	0	4	2	1	2	0.29
0	5	1	0	0	0	0	1	0	8	8	0	4	0.26
0	7	1	1	0	0	0	1	0	2	1	0	1	0.29
0	7	0	0	13	6	0	17	0	46	128	26	23	0.24
0	3	2	0	0	0	0	0	0	5	4	1	3	0.12
0	7	0	0	9	4	0	12	0	16	26	9	8	0.26
0	5	1	1	1	1	0	0	1	13	2	0	1	0.21
0	3	0	0	2	0	0	0	0	1	1	1	2	0.2
0	6	0	0	12	5	0	18	0	28	62	16	14	0.28
0	6	2	0	3	0	0	2	0	10	2	1	3	0.13
0	7	28	42	0	7	0	0	35	101	1	0	1	0.15
0	8	0	0	0	0	7	7	0	1	4	0	2	0.02
0	5	0	0	0	5	0	10	0	12	50	22	12	0.15
0	5	0	0	6	1	0	1	0	3	6	3	3	0.12
0	5	0	0	6	1	0	1	0	2	6	3	3	0.09
0	6	0	3	6	3	0	0	6	27	3	3	2	0.22
0	11	0	1	0	4	0	0	1	15	6	0	4	0.32
0	5	0	0	1	2	0	0	0	0	1	0	1	0.0
0	5	0	0	10	0	0	1	0	6	4	4	2	0.13
0	6	0	0	13	6	0	20	0	17	152	30	27	0.08
0	3	0	0	0	0	0	0	0	3	6	2	4	0.12
0	7	0	0	9	4	0	13	0	47	86	24	23	0.36
0	4	2	0	0	0	0	0	32	0	24	4	7	0.0
0	7	0	0	9	4	0	13	0	49	82	23	22	0.34
0	7	0	0	13	6	0	19	0	32	86	19	16	0.23
0	3	0	0	0	0	0	0	0	2	5	5	5	0.09
0	3	28	0	0	0	0	0	0	19	56	1	29	0.14
