relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
0.0	12.33	7.0	0.0	0.0	45.0	9.0	9.0	9.0	18.0	9.0	0.2
0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5
0.0	16.65	8.0	59.0	28.0	60.0	1.0	9.0	49.0	15.0	20.0	0.05
0.0	18.0	7.0	0.0	0.0	56.0	10.0	26.0	0.0	27.0	10.0	0.17
0.0	16.0	6.0	0.0	0.0	30.0	6.0	24.0	0.0	13.0	6.0	0.18
0.0	13.67	7.0	0.0	0.0	17.0	3.0	6.0	0.0	10.0	3.0	0.28
0.0	31.86	11.0	0.0	0.0	84.0	7.0	14.0	0.0	8.0	7.0	0.12
0.0	2.0	3.0	0.0	0.0	0.0	14.0	13.0	0.0	0.0	14.0	0.0
0.0	2.0	2.0	8.0	8.0	0.0	0.0	0.0	0.0	40.0	8.0	0.23
0.0	10.75	10.0	0.0	0.0	16.0	0.0	3.0	0.0	2.0	4.0	0.22
0.0	12.5	6.0	0.0	0.0	27.0	6.0	18.0	0.0	18.0	6.0	0.25
0.0	15.5	5.0	0.0	0.0	6.0	0.0	2.0	4.0	8.0	2.0	0.15
0.0	18.75	9.0	0.0	0.0	28.0	4.0	20.0	0.0	14.0	4.0	0.23
0.0	17.0	7.0	0.0	6.0	12.0	3.0	9.0	0.0	11.0	3.0	0.25
0.0	15.67	6.0	0.0	0.0	29.0	6.0	22.0	0.0	17.0	6.0	0.21
0.0	25.31	11.0	0.0	0.0	571.0	48.0	124.0	3.0	94.0	48.0	0.13
0.0	19.33	7.0	0.0	0.0	16.0	3.0	13.0	0.0	12.0	3.0	0.23
0.0	15.33	7.0	0.0	6.0	12.0	3.0	9.0	0.0	8.0	3.0	0.31
0.0	19.0	14.0	0.0	0.0	26.0	3.0	6.0	13.0	29.0	6.0	0.25
0.0	19.6	7.0	0.0	0.0	59.0	10.0	29.0	0.0	27.0	10.0	0.15
0.0	74.0	8.0	0.0	0.0	44.0	4.0	6.0	0.0	13.0	1.0	0.29
0.0	1.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0
0.0	22.1	11.0	0.0	0.0	95.0	8.0	16.0	0.0	14.0	10.0	0.18
0.0	0.5	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	6.0	0.17
0.0	21.58	6.0	0.0	0.0	124.0	12.0	12.0	37.0	7.0	12.0	0.12
0.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	2.0	0.78
0.0	4.0	6.0	10.0	0.0	1.0	0.0	9.0	1.0	23.0	9.0	0.15
0.0	13.83	7.0	0.0	0.0	28.0	6.0	20.0	0.0	17.0	6.0	0.22
0.0	11.0	5.0	2.0	2.0	4.0	1.0	0.0	2.0	2.0	1.0	0.06
0.0	13.5	6.0	0.0	0.0	17.0	4.0	14.0	0.0	15.0	4.0	0.25
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	3.0	0.24
0.0	2.55	4.0	0.0	0.0	0.0	0.0	110.0	0.0	30.0	143.0	0.16
0.0	19.0	9.0	0.0	0.0	20.0	3.0	15.0	0.0	11.0	3.0	0.2
0.0	14.5	6.0	0.0	0.0	29.0	6.0	24.0	0.0	15.0	6.0	0.21
0.0	19.75	7.0	0.0	0.0	78.0	8.0	32.0	0.0	16.0	8.0	0.2
0.0	18.25	7.0	8.0	0.0	17.0	4.0	16.0	10.0	10.0	4.0	0.17
0.0	19.4	7.0	0.0	0.0	60.0	10.0	30.0	0.0	25.0	10.0	0.14
0.0	13.5	13.0	0.0	1.0	9.0	2.0	0.0	0.0	1.0	2.0	0.2
0.0	10.0	5.0	0.0	0.0	48.0	8.0	8.0	0.0	11.0	8.0	0.15
0.0	19.43	7.0	0.0	0.0	41.0	7.0	20.0	0.0	21.0	7.0	0.15
0.0	17.67	6.0	0.0	0.0	32.0	6.0	25.0	0.0	17.0	6.0	0.2
0.0	14.57	7.0	0.0	0.0	36.0	7.0	15.0	0.0	17.0	7.0	0.17
0.0	20.5	9.0	0.0	0.0	27.0	4.0	20.0	0.0	17.0	4.0	0.22
0.0	14.67	6.0	0.0	0.0	29.0	6.0	22.0	0.0	18.0	6.0	0.26
0.0	28.44	11.0	0.0	0.0	83.0	8.0	16.0	0.0	7.0	9.0	0.12
0.0	2.33	3.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	3.0	0.46
0.0	16.0	6.0	0.0	0.0	30.0	6.0	24.0	0.0	6.0	6.0	0.07
0.0	19.0	7.0	0.0	0.0	59.0	10.0	29.0	0.0	25.0	10.0	0.15
0.0	17.14	7.0	0.0	0.0	39.0	7.0	18.0	0.0	22.0	7.0	0.2
0.0	15.0	6.0	0.0	0.0	27.0	6.0	24.0	0.0	23.0	6.0	0.27
0.0	12.0	11.0	0.0	0.0	24.0	0.0	0.0	0.0	3.0	6.0	0.15
0.0	24.7	8.0	50.0	96.0	78.0	9.0	10.0	50.0	5.0	20.0	0.02
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
0.0	17.4	7.0	0.0	0.0	55.0	10.0	25.0	0.0	28.0	10.0	0.17
0.0	2.0	3.0	0.0	0.0	0.0	0.0	11.0	0.0	6.0	11.0	0.3
0.0	16.6	5.0	0.0	0.0	15.0	0.0	5.0	13.0	25.0	5.0	0.19
0.0	20.67	7.0	0.0	0.0	17.0	6.0	8.0	0.0	10.0	3.0	0.16
0.0	15.5	6.0	0.0	0.0	30.0	6.0	24.0	0.0	16.0	6.0	0.19
0.0	4.45	6.0	1.0	0.0	156.0	57.0	100.0	0.0	22.0	257.0	0.1
0.0	29.75	10.0	0.0	0.0	52.0	4.0	8.0	0.0	12.0	4.0	0.26
0.0	1.0	2.0	0.0	0.0	0.0	0.0	7.0	0.0	10.0	7.0	0.59
0.0	15.5	6.0	0.0	0.0	28.0	6.0	24.0	0.0	12.0	6.0	0.19
0.0	11.67	11.0	0.0	0.0	12.0	0.0	0.0	0.0	3.0	3.0	0.18
0.0	12.33	6.0	0.0	0.0	28.0	6.0	20.0	0.0	12.0	6.0	0.2
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	12.0	0.17
0.0	30.0	8.0	0.0	0.0	272.0	17.0	34.0	0.0	18.0	17.0	0.15
0.0	21.64	11.0	0.0	0.0	87.0	8.0	16.0	0.0	13.0	11.0	0.17
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	11.0	0.2
0.0	30.0	8.0	0.0	0.0	288.0	18.0	36.0	0.0	16.0	18.0	0.19
0.0	2.0	3.0	0.0	0.0	0.0	0.0	5.0	5.0	4.0	5.0	0.57
0.0	22.2	8.0	0.0	0.0	51.0	5.0	10.0	20.0	6.0	5.0	0.22
0.0	14.5	6.0	0.0	0.0	28.0	6.0	24.0	0.0	17.0	6.0	0.21
0.0	19.14	7.0	0.0	0.0	42.0	7.0	21.0	0.0	20.0	7.0	0.15
0.0	14.0	6.0	0.0	0.0	27.0	6.0	24.0	0.0	12.0	6.0	0.18
0.0	28.67	11.0	0.0	0.0	70.0	6.0	12.0	0.0	9.0	6.0	0.2
0.0	17.8	7.0	0.0	0.0	56.0	10.0	26.0	0.0	20.0	10.0	0.14
0.0	20.0	5.0	0.0	0.0	17.0	0.0	8.0	15.0	70.0	5.0	0.2
0.0	17.57	7.0	0.0	0.0	38.0	14.0	17.0	0.0	13.0	7.0	0.12
